created_at,data.adjectives_bikes.0,data.adjectives_bikes.1,data.adjectives_bikes.2,data.adjectives_motors.0,data.adjectives_motors.1,data.adjectives_motors.2,data.adjectives_pubs.0,data.adjectives_pubs.1,data.adjectives_pubs.2,data.constraints.0,data.constraints.1,data.constraints.2,data.constraints.3,data.employment_rate,data.equipments.0,data.equipments.1,data.equipments.2,data.equipments.3,data.equipments.4,data.equipments.5,data.equipments.6,data.freq_mod_bike,data.freq_mod_car,data.freq_mod_combined,data.freq_mod_moto,data.freq_mod_pro_inter_car,data.freq_mod_pro_inter_combined,data.freq_mod_pro_inter_plane,data.freq_mod_pro_inter_train,data.freq_mod_pro_local_bike,data.freq_mod_pro_local_car,data.freq_mod_pro_local_combined,data.freq_mod_pro_local_moto,data.freq_mod_pro_local_pub,data.freq_mod_pro_local_train,data.freq_mod_pro_local_walking,data.freq_mod_pro_region_car,data.freq_mod_pro_region_combined,data.freq_mod_pro_region_moto,data.freq_mod_pro_region_plane,data.freq_mod_pro_region_pub,data.freq_mod_pro_region_train,data.freq_mod_pub,data.freq_mod_train,data.freq_mod_walking,data.freq_trav_pro_inter,data.freq_trav_pro_local,data.freq_trav_pro_region,data.importance_comfort,data.importance_cost,data.importance_env,data.importance_flex,data.importance_most,data.importance_rel,data.importance_time,data.needs_bike,data.needs_car,data.needs_moto,data.needs_pub,data.needs_train,data.needs_walking,data.trav_pro.0,data.trav_pro.1,data.trav_pro.2,data.travel_time,typo.reco.reco_dt2.0,typo.reco.reco_dt2.1,updated_at
2025-03-14T12:19:58.914798,autonomous,healthy,tiring,autonomous,practical,congested,fast,expensive,practical,,,,,50,bike,upt_subs,train_subs,,,,,0,0,TRUE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,0,0,4,4,5,0,5,0,0,4,3,5,4,3,1,5,5,3,1,1,5,5,5,,,,40,tpu,vae,2025-03-14T12:33:46.101649
2025-03-14T18:49:28.158037,,,,,,,,,,,,,,60,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-27T08:58:42.007507
2025-03-14T18:52:36.788985,ecological,practical,autonomous,expensive,polluting,,constraining,ecological,,dependent,,,,80,upt_subs,train_subs,bike,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,4,0,0,0,0,0,3,3,5,5,2,5,5,5,1,1,5,5,1,,,,30,vae,elec,2025-03-14T18:58:49.360238
2025-03-14T18:59:45.896475,,,,,,,,,,dependent,,,,100,bike,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,30,,,2025-03-14T19:01:00.242094
2025-03-15T14:00:28.266763,ecological,pleasant,reliable,pleasant,polluting,practical,tiring,unpleasant,expensive,dependent,,,,80,car_driver,upt_subs,,,,,,0,0,TRUE,0,0,FALSE,1,1,0,0,TRUE,0,5,5,5,0,FALSE,0,0,0,0,3,3,3,1,5,1,5,4,4,2,2,3,3,1,1,1,2,2,5,,,,50,tpu,inter,2025-03-15T14:05:14.630283
2025-03-16T19:01:55.383289,autonomous,ecological,reliable,fast,polluting,autonomous,expensive,pleasant,safe,heavy,night,,,20,eab,upt_subs,,,,,,4,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,0,2,0,3,4,4,1,1,4,5,4,1,1,5,4,4,,,,15,tpu,inter,2025-03-16T19:14:49.795559
2025-03-17T13:45:50.467056,ecological,autonomous,healthy,congested,polluting,expensive,ecological,relax,reliable,,,,,25,eab,upt_subs,,,,,,1,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,1,1,4,3,5,4,4,4,3,5,1,1,5,3,3,,,,10,velo,vae,2025-03-17T14:07:14.529657
2025-03-17T13:58:29.417798,fast,relax,healthy,slow,polluting,congested,slow,constraining,ecological,,,,,100,bike,train_subs,upt_subs,car_driver,,,,3,0,TRUE,0,0,FALSE,0,0,2,0,FALSE,0,2,1,4,0,FALSE,0,0,0,0,2,2,5,0,4,0,3,1,5,5,5,5,5,5,1,1,3,2,5,,,,40,vae,tpu,2025-03-17T14:02:59.857640
2025-03-17T14:00:06.097441,,,,,,,,,,,,,,0,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-17T14:00:42.407642
2025-03-17T14:02:42.782074,expensive,ecological,healthy,expensive,polluting,autonomous,ecological,congested,practical,,,,,100,bike,upt_subs,train_subs,car_driver,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,5,0,0,0,1,0,2,3,3,3,2,3,5,4,1,1,4,2,3,,,,40,tpu,vae,2025-03-17T14:20:05.853440
2025-03-17T14:08:49.658823,unpleasant,bad_weather,dangerous,fast,practical,polluting,expensive,ecological,safe,,,,,100,train_subs,upt_subs,car_driver,,,,,0,0,TRUE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,0,0,3,3,1,1,0,0,0,3,3,4,3,4,4,4,5,1,4,1,3,3,3,,,,45,inter,tpu,2025-03-18T09:55:22.314552
2025-03-17T14:10:47.627477,,,,,,,,,,,,,,100,,,,,,,,0,0,FALSE,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,,,2025-03-17T14:10:49.143176
